Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	1	0	0.0014552	0.5385	50	1379000	11925000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.746	7.309	7.309	202.4	189.1	5.755	0	5.755	0.03053	0.5305	0.5495	0.2137	38.89	NaN	NaN	727263.3	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	2	1	0.01043	0.50833	40.49	1574800	13065000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.747	7.309	7.309	202.5	189.2	5.749	0	5.749	0.03036	0.5281	0.5465	0.2125	38.89	NaN	NaN	660214.1	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	3	2	0.018902	0.53275	42.361	1514700	13234000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.749	7.309	7.309	202.5	189.2	5.744	0	5.744	0.03021	0.5258	0.5437	0.2114	38.89	NaN	NaN	699331.6	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	4	3	0.027781	0.53072	41.873	1497800	12897000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.751	7.309	7.309	202.5	189.2	5.739	0	5.739	0.03004	0.5234	0.5407	0.2103	38.89	NaN	NaN	672662.9	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	5	4	0.036627	0.51232	41.988	1500200	13435000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.753	7.309	7.309	202.5	189.3	5.734	0	5.734	0.02988	0.5211	0.5378	0.2091	38.89	NaN	NaN	696920.5	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	6	5	0.045165	0.52865	41.961	1480800	12891000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.755	7.309	7.309	202.5	189.3	5.729	0	5.729	0.02972	0.5188	0.5349	0.208	38.89	NaN	NaN	677835.9	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	7	6	0.053976	0.51958	41.378	1556900	13090000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.757	7.309	7.309	202.6	189.4	5.724	0	5.724	0.02956	0.5164	0.532	0.2069	38.89	NaN	NaN	675833.7	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	8	7	0.062636	0.52008	41.425	1546200	13205000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.758	7.308	7.308	202.6	189.4	5.718	0	5.718	0.0294	0.5141	0.5291	0.2058	38.89	NaN	NaN	679245.3	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	9	8	0.071304	0.52127	41.694	1541500	13359000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.76	7.308	7.308	202.6	189.4	5.713	0	5.713	0.02924	0.5117	0.5262	0.2046	38.89	NaN	NaN	690190.1	NaN
01625b_GA4-TUM_first_pool_25_01_01-3xHCD-1h-R1	10	9	0.079992	0.52082	42.203	1500300	13163000	0	-0.29282	TUM_first_pool_25_01_01-3xHCD-1h-R1-tryptic	3.762	7.308	7.308	202.6	189.5	5.708	0	5.708	0.02907	0.5093	0.5233	0.2035	38.89	NaN	NaN	688343.6	NaN
