Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	100	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	101	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	102	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	103	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	104	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	105	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	106	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	107	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	108	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	109	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	110	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	111	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	112	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	113	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	114	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	115	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	116	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	117	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	118	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	119	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	120	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	121	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	122	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	123	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	124	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	125	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	126	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	127	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	128	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	129	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	130	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	131	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	132	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	133	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	134	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	135	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	136	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	137	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	138	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	139	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	140	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	141	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	142	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	143	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	144	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	145	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	146	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	147	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	148	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	149	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	150	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	151	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	152	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	153	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	154	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	155	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	156	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	157	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	158	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	159	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	160	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	161	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	162	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	163	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	164	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	165	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	166	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	167	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	168	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	169	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	170	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	171	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	172	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	173	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	174	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	175	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	176	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	177	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	178	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	179	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	180	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	181	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	182	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	183	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	184	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	185	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	186	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	187	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	188	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	189	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	190	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	191	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	192	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	193	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	194	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	195	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	196	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	197	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	198	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	199	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	200	0	0	0	0	0	0	NaN	0	0	
01625b_GA1-TUM_first_pool_1_01_01-3xHCD-1h-R1	201	0	0	0	0	0	0	NaN	0	0	
