Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	1	0	0.0014417	0.54076	50	1395200	11648000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.622	6.98	6.98	199.6	190.9	4.066	0	4.066	0.01526	0.3754	0.1374	0.04579	33.33	NaN	NaN	718641.9	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	2	1	0.010454	0.51455	44.151	1453300	12394000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.625	6.986	6.986	199.6	190.8	4.062	0	4.062	0.01518	0.3737	0.1366	0.04554	33.33	NaN	NaN	682890.1	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	3	2	0.01903	0.53762	44.56	1436400	12165000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.627	6.992	6.992	199.5	190.8	4.058	0	4.058	0.0151	0.3721	0.1359	0.0453	33.33	NaN	NaN	673925.8	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	4	3	0.027991	0.51663	42.727	1509800	12772000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.63	6.998	6.998	199.5	190.8	4.054	0	4.054	0.01502	0.3704	0.1352	0.04506	33.33	NaN	NaN	684270.3	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	5	4	0.036601	0.5178	42.883	1423700	12574000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.633	7.003	7.003	199.5	190.8	4.05	0	4.05	0.01494	0.3688	0.1344	0.04482	33.33	NaN	NaN	677797.1	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	6	5	0.045231	0.53439	42.368	1509600	12926000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.635	7.009	7.009	199.4	190.7	4.047	0	4.047	0.01486	0.3672	0.1337	0.04458	33.33	NaN	NaN	684353.4	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	7	6	0.054138	0.51261	42.405	1494700	13019000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.638	7.015	7.015	199.4	190.7	4.043	0	4.043	0.01478	0.3655	0.133	0.04433	33.33	NaN	NaN	691465.9	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	8	7	0.062681	0.52582	42.556	1537300	12753000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.641	7.02	7.02	199.4	190.7	4.039	0	4.039	0.0147	0.3639	0.1323	0.04409	33.33	NaN	NaN	676762.2	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	9	8	0.071445	0.50526	41.503	1517400	12772000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.643	7.026	7.026	199.3	190.7	4.035	0	4.035	0.01462	0.3622	0.1315	0.04385	33.33	NaN	NaN	658064.3	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	10	9	0.079866	0.51868	43.089	1512000	12590000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.646	7.032	7.032	199.3	190.6	4.031	0	4.031	0.01454	0.3606	0.1308	0.04361	33.33	NaN	NaN	675710.1	NaN
01625b_GA3-TUM_first_pool_17_01_01-3xHCD-1h-R1	11	10	0.088511	0.52799	44.056	1485400	12582000	0	-0.31586	TUM_first_pool_17_01_01-3xHCD-1h-R1-tryptic	3.649	7.037	7.037	199.3	190.6	4.027	0	4.027	0.01446	0.359	0.1301	0.04337	33.33	NaN	NaN	693694.7	NaN
