Raw file	Scan number	Scan index	Retention time	Cycle time	Ion injection time	Base peak intensity	Total ion current	MS/MS count	Mass calibration	Experiment	Peak length	Isotope pattern length	Multiplet length	Peaks / s	Single peaks / s	Isotope patterns / s	Single isotope patterns / s	Multiplets / s	Identified multiplets / s	Multiplet identification rate [%]	MS/MS / s	Identified MS/MS / s	MS/MS identification rate [%]	Intens Comp Factor	CTCD Comp	RawOvFtT	AGC Fill
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	1	0	0.0014403	0.56139	50	1523700	12787000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.875	6.925	6.925	187.6	174.8	5.598	0	5.598	0.01526	0.2727	0.1374	0.06106	44.44	NaN	NaN	787792	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	2	1	0.010797	0.52857	38.979	1655700	13835000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.878	6.927	6.927	187.5	174.7	5.593	0	5.593	0.01518	0.2714	0.1366	0.06071	44.44	NaN	NaN	679461	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	3	2	0.019606	0.51686	38.889	1683100	13457000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.881	6.929	6.929	187.4	174.7	5.588	0	5.588	0.0151	0.2702	0.1359	0.06038	44.44	NaN	NaN	652388.8	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	4	3	0.028221	0.541	39.184	1734900	13957000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.884	6.931	6.931	187.4	174.6	5.583	0	5.583	0.01502	0.269	0.1351	0.06007	44.44	NaN	NaN	683093.8	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	5	4	0.037237	0.53307	38.418	1681600	13711000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.887	6.933	6.933	187.3	174.6	5.578	0	5.578	0.01493	0.2677	0.1344	0.05973	44.44	NaN	NaN	667916.6	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	6	5	0.046122	0.52576	39.086	1667400	14257000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.89	6.935	6.935	187.2	174.5	5.573	0	5.573	0.01485	0.2665	0.1337	0.0594	44.44	NaN	NaN	692141.5	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	7	6	0.054884	0.55047	37.423	1661500	14148000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.893	6.937	6.937	187.2	174.5	5.568	0	5.568	0.01477	0.2653	0.1329	0.05908	44.44	NaN	NaN	674602.3	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	8	7	0.064059	0.55307	37.453	1621700	13985000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.896	6.939	6.939	187.1	174.4	5.562	0	5.562	0.01468	0.264	0.1322	0.05874	44.44	NaN	NaN	667492.9	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	9	8	0.073277	0.52487	37.735	1641600	14230000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.9	6.941	6.941	187	174.4	5.557	0	5.557	0.0146	0.2627	0.1314	0.0584	44.44	NaN	NaN	667577.1	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	10	9	0.082025	0.53875	35.715	1740300	14798000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.903	6.943	6.943	187	174.3	5.552	0	5.552	0.01452	0.2615	0.1307	0.05807	44.44	NaN	NaN	663080.6	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	11	10	0.091004	0.53982	36.379	1597200	14244000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.906	6.945	6.945	186.9	174.3	5.547	0	5.547	0.01444	0.2602	0.1299	0.05774	44.44	NaN	NaN	650046.9	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	12	11	0.1	0.52198	36.083	1738000	14413000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.909	6.947	6.947	186.8	174.2	5.542	0	5.542	0.01435	0.259	0.1292	0.05741	44.44	NaN	NaN	650592.6	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	13	12	0.1087	0.53814	37.082	1724600	14368000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.912	6.949	6.949	186.7	174.2	5.537	0	5.537	0.01427	0.2577	0.1284	0.05709	44.44	NaN	NaN	669960.3	NaN
01625b_GA2-TUM_first_pool_9_01_01-3xHCD-1h-R1	14	13	0.11767	0.53357	38.409	1725100	13844000	0	0.1755	TUM_first_pool_9_01_01-3xHCD-1h-R1-tryptic	3.915	6.951	6.951	186.7	174.1	5.532	0	5.532	0.01419	0.2565	0.1277	0.05675	44.44	NaN	NaN	657568.6	NaN
